latitude,longitude,NDVI,Temperature,Precipitation,Humidity,Windspeed,is_fire,Year,Month,Day
34.07931,-2.351912,1398.0,16.5,0.0,46.7,5.2,0.0,2020,10,19
31.618343,-8.195531,2943.0,24.555553,0.0,56.5,6.2,0.0,2014,6,27
34.596016,-2.3432572,2045.0,11.0,0.0,41.9,6.3,1.0,2017,2,2
30.217688,-9.154644,1285.0,19.944445,0.0,59.2,5.2,1.0,2021,10,7
30.87001,-7.295179,1405.0,13.222222,0.0,16.0,3.6,0.0,2013,2,18
29.636074,-7.441009,1078.0,10.333332,0.0,17.7,2.6,0.0,2020,1,29
31.62914,-4.22006,1773.0,11.833333,0.0,21.8,4.5,1.0,2022,1,6
27.871082,-9.184358,1064.0,25.166668,0.0,64.0,7.4,0.0,2018,8,21
34.593155,-2.348072,3677.0,17.444445,0.0,54.6,5.8,1.0,2018,5,12
33.927605,-5.37324,4234.0,10.611111,0.0,36.8,3.2,0.0,2016,12,28
27.605381,-10.429376,1138.0,18.944445,0.0,58.7,8.8,0.0,2015,11,22
31.2835,-4.2925496,1474.0,29.11111,0.0,31.8,9.6,0.0,2015,6,9
33.840004,-5.0375996,2537.0,29.444445,0.0,62.9,8.0,1.0,2019,7,26
31.031704,-6.8770614,1132.0,25.944443,0.0,27.0,7.3,1.0,2019,5,9
31.183105,-6.4000993,1210.0,11.277778,99.99,37.1,4.3,0.0,2021,1,7
33.94776,-5.121526,2388.0,21.11111,99.99,52.3,6.2,1.0,2015,10,18
32.117867,-9.084871,2044.0,17.38889,0.0,61.5,2.8,1.0,2021,10,8
28.127317,-10.88664,951.0,19.333336,0.0,55.2,14.2,0.0,2021,4,21
33.824333,-5.6868634,3454.0,21.722221,0.0,58.3,4.6,1.0,2014,6,17
35.13659,-5.4388466,4527.0,22.055553,0.0,59.6,5.8,1.0,2017,10,12
34.595047,-2.349944,1400.0,23.333334,0.0,55.9,10.8,1.0,2019,10,15
33.649067,-6.0783944,3425.0,24.444445,0.0,59.3,6.1,0.0,2021,9,5
35.411682,-5.2878313,4268.0,12.055555,0.0,47.1,4.6,1.0,2015,12,25
32.402206,-4.798807,1056.0,16.5,0.0,19.3,3.2,0.0,2017,11,2
